Z,orbital,n,l,occupancy,Z_eff,E_base_eV,Delta_Shannon_eV,Delta_Fisher_eV,E_total_eV,r_avg_bohr,r_avg_angstrom,is_valence
1,1s,1,0,1,1.000000,-13.605698,0.000000,0.000000,-13.605698,1.500000,0.793766,True
2,1s,1,0,2,1.700000,-39.320467,0.000000,0.000000,-39.320467,0.882353,0.466921,True
3,1s,1,0,2,2.700000,-99.185539,0.000000,0.000000,-99.185539,0.555556,0.293987,False
3,2s,2,0,1,1.300000,-5.748407,0.000000,0.000000,-5.748407,4.615385,2.442356,True
4,1s,1,0,2,3.700000,-186.262007,0.000000,0.000000,-186.262007,0.405405,0.214531,False
4,2s,2,0,2,1.950000,-12.933917,0.000000,0.000000,-12.933917,3.076923,1.628238,True
5,1s,1,0,2,4.700000,-300.549870,0.000000,0.000000,-300.549870,0.319149,0.168886,False
5,2s,2,0,2,2.600000,-22.993630,0.000000,0.000000,-22.993630,2.307692,1.221178,False
5,2p,2,1,1,2.600000,-23.136814,0.006134,0.000000,-23.130679,1.929065,1.020817,True
6,1s,1,0,2,5.700000,-442.049130,0.000000,0.000000,-442.049130,0.263158,0.139257,False
6,2s,2,0,2,3.250000,-35.927546,0.000000,0.000000,-35.927546,1.846154,0.976943,False
6,2p,2,1,2,3.250000,-36.151271,0.023400,0.000000,-36.127871,1.543252,0.816654,True
7,1s,1,0,2,6.700000,-610.759786,0.000000,0.000000,-610.759786,0.223881,0.118473,False
7,2s,2,0,2,3.900000,-51.735667,0.000000,0.000000,-51.735667,1.538462,0.814119,False
7,2p,2,1,3,3.900000,-52.057830,0.069871,0.000000,-51.987959,1.286043,0.680545,True
8,1s,1,0,2,7.700000,-806.681838,0.000000,0.000000,-806.681838,0.194805,0.103086,False
8,2s,2,0,2,4.550000,-70.417991,0.000000,0.000000,-70.417991,1.318681,0.697816,False
8,2p,2,1,4,4.550000,-70.856491,0.176189,0.000000,-70.680303,1.102323,0.583324,True
9,1s,1,0,2,8.700000,-1029.815287,0.000000,0.000000,-1029.815287,0.172414,0.091237,False
9,2s,2,0,2,5.200000,-91.974519,0.000000,0.000000,-91.974519,1.153846,0.610589,False
9,2p,2,1,5,5.200000,-92.547254,0.392581,0.000000,-92.154673,0.964532,0.510408,True
10,1s,1,0,2,9.700000,-1280.160131,0.000000,0.000000,-1280.160131,0.154639,0.081832,False
10,2s,2,0,2,5.850000,-116.405251,0.000000,0.000000,-116.405251,1.025641,0.542746,False
10,2p,2,1,6,5.850000,-117.130118,0.795875,0.000000,-116.334243,0.857362,0.453696,True
11,1s,1,0,2,10.700000,-1557.716372,0.000000,0.000000,-1557.716372,0.140187,0.074184,False
11,2s,2,0,2,6.850000,-159.603342,0.000000,0.000000,-159.603342,0.875912,0.463513,False
11,2p,2,1,6,6.850000,-160.597209,2.051413,0.000000,-158.545796,0.732200,0.387463,False
11,3s,3,0,1,2.200000,-7.316842,0.000000,0.000000,-7.316842,6.136364,3.247224,True
12,1s,1,0,2,11.700000,-1862.484008,0.000000,0.000000,-1862.484008,0.128205,0.067843,False
